台帳番号,緯度,経度,エリア,行政区,所在地
G8-10,35.1444754018481,137.079206541148,北東地区,三本木区,日進市米野木町北山128-5
G8-11,35.1449904919317,137.077967153877,北東地区,三本木区,日進市米野木町北山1-2
G8-12,35.144171707739,137.077604450482,北東地区,三本木区,日進市米野木町北山1-2
G8-14,35.1295538680175,137.071476734225,南東地区,米野木区,日進市米野木町細口145
G8-15,35.1292394314973,137.070323979841,南東地区,米野木区,日進市米野木町細口354-3（道路上）
G8-16,35.1288666137038,137.070240258754,南東地区,米野木区,日進市米野木台6丁目911
G8-17,35.1266198516316,137.073378692471,南東地区,米野木区,日進市米野木町細口69（道路上、溜池）
G8-18,35.1293376744231,137.056944515616,南東地区,米野木区,日進市米野木町土岡7-47(米野木つちおかちびっこ広場横）
G8-19,35.1286617966965,137.060112886603,南東地区,米野木区,日進市米野木町土岡112-3
G8-2,35.1455139715161,137.09349834321,南東地区,三本木区,日進市米野木町三ケ峯4－323（三ヶ峯西公園敷地内）
G8-20,35.130881778345,137.061525280988,南東地区,米野木区,日進市米野木町中芝64-8
G8-21,35.1303321893257,137.063762690795,南東地区,米野木区,日進市米野木町福成４７番地（米野木福成児童遊園内）
G8-24,35.1273359380057,137.062707839151,南東地区,米野木区,日進市米野木町奥畑１０３
G8-26,35.1257311686597,137.06197419092,南東地区,米野木区,日進市米野木町奥畑32-2（道路上）
G8-27,35.1254263268737,137.062113488813,南東地区,米野木区,日進市米野木町南山27－25
G8-28,35.1366199845356,137.060189869141,北東地区,米野木区,日進市米野木町小馬場38-16
G8-29,35.137473195103,137.064894431915,北東地区,米野木区,日進市米野木町北畑8-3（日進東小学校正門脇）
G8-3,35.1440419031028,137.093502294578,南東地区,三本木区,日進市米野木町三ケ峯4－328
G8-30,35.1357573981922,137.061340473241,北東地区,米野木区,日進市米野木町宮前１０１（米野木神明社駐車場地内）
G8-31,35.1346989223955,137.063236398086,北東地区,米野木区,日進市米野木町番城田28-3（道路上）
G8-32,35.1325926204241,137.061598686741,北東地区,米野木区,日進市米野木町仲田35-23（東部福祉会館敷地内）
G8-33,35.1318568326425,137.06178200387,南東地区,米野木区,日進市米野木町福成13-7（米野木ポンプ上跡地）
G8-35,35.1324681300319,137.06274915934,北東地区,米野木区,日進市米野木町仲田72
G8-36,35.1475105914825,137.093043502096,南東地区,三本木区,日進市米野木町三ヶ峯（日進高等学校敷地内）
G8-37,35.1352029172936,137.071938069405,北東地区,米野木区,日進市米野木町丸山１４６（米野木まるやまちびっこ広場敷地内）
G8-38,35.1331244909469,137.06983954513,南東地区,米野木区,日進市米野木町下五反田６７－２（米野木公会堂跡地）
G8-39,35.1364621708565,137.080534036288,南東地区,三本木区,日進市米野木町南山９７３－１（南山エピック西公園横道路上）
G8-4,35.1448836669115,137.095296139633,南東地区,三本木区,日進市米野木町三ケ峯4－334
G8-41,35.1364147147135,137.083051662549,南東地区,三本木区,日進市米野木町南山９７３－５３（南山エピック北公園敷地内）
G8-42,35.1356390152838,137.082922419036,南東地区,三本木区,日進市米野木町南山９７３－１（南山エピック集会所横道路上）
G8-43,35.1359187026604,137.08660772266,南東地区,三本木区,日進市米野木町南山９７３－２３７（南山エピック東公園敷地内）
G8-44,35.1335589616142,137.084709351809,南東地区,三本木区,日進市米野木町南山973-265付近（道路上）
G8-45,35.1324534996995,137.0846953166,南東地区,三本木区,日進市米野木町南山987-35付近（道路上）
G8-46,35.1311194723541,137.083029753231,南東地区,米野木区,日進市米野木町南山975-20
G8-47,35.1290229403706,137.085116044822,南東地区,米野木区,日進市米野木町南山977-33
